pct_college,unemp_rate,med_incomeE,majority_white,rural
0.5272336156369739,0.03593870348442871,40627,TRUE,FALSE
0.5973954327241864,0.02818385016571179,51640,TRUE,FALSE
0.39516778091364674,0.048780045069224565,32171,TRUE,FALSE
0.4707825594354784,0.031396567731887745,41654,TRUE,FALSE
0.48013778042932564,0.04075913699841632,34592,TRUE,FALSE
0.2997983419224737,0.06265138059098983,29752,TRUE,FALSE
0.21246290801186943,0.06581384273468092,25220,TRUE,FALSE
0.28097132498752997,0.04406787768622714,32827,TRUE,FALSE
0.5053972862356096,0.06115748936726699,40247,TRUE,FALSE
0.4092568849141174,0.05300775758837924,36746,TRUE,FALSE
0.34392504012010144,0.040907959579869584,37401,TRUE,FALSE
0.47140797139066737,0.04784957033686013,44619,TRUE,FALSE
0.36917038017762654,0.05596724336894184,34382,TRUE,FALSE
